ensure		|Г.гарантировать, обеспечить
legacy		|П.устаревший,снятый с роизводства;С.наследство,наследие
retrieve	|отыскать, находить,восстановление
---waste		|отходы,отработанный;расточительный
stage		|фаза, стадия, ступень
avoid		|избегать,уклоняться
reach		|достигать,связаться,доходить;добиваться
reachable,accessible|достижимый, поддатливый
truncate	|усекать,урезать,срезать
prune		|Г.сокращать,подрезать,удалять,упрощать
slice		|резать;часть,доля
observe		|наблюдать,следить,соблюдать
suppress	|подавлять, сдерживать; скрывать
margin		|кромка, край, граница
---edge		|кромка, край.
deep		|глубокий, широкий
during		|во время, в процессе
member		|член,участник,представитель
store		|запас,резерв;помнить,хранить
calculate,compute;count|считать
transparent	|прозрачный,очевидный,ясный
reflect		|отражать,изображать;воспроизводить,размышлять
retry		|снова,повторение,повторное
track		|дорога,след,следить
case		|случай, положение дел, факт
---staff		|кадры,персонал
---wire		|ограждение;сеть,проводник
arrival		|прибытие,приход;вновь прибывший
inbound		|П.прибывающий, возвращающийся 
	boundaries of this region – границы этой области
boundaries	|границы
---bound		|C.граница;П.связанный,ограниченный,обязательный;Г.связывать,ограничивать
---invite		|приглашать,звать
---involve		|Г.привлекать,погружать,включать в себя, учавстовать
---inspired 	|П.вдохновленный, втянутый;Г.влиять;внушать,вселатья(чувства)
pipe 		|канал,труба,волновод
shrink		|уменьшать,сжимать,сокращать;терять значение,удаляться исчезать
decrease	|снизить,уменьшать,сокращать
increase	|рост,возростание;увеличение кол.
floor		|пол,дно; минимальный уровень(вел.)
omit		|Г.пропускать,не включать,пренебригать [ə'mɪt]
desirable	|желательно, желаемый; привосходный [dɪ'zaɪərəbl]
desire		|Г.мечать,хотеть,просить!С.желание,жажда [dɪ'zaɪə]
---desert		|C.пустыня!П.заброшенный, покинутый ['dezət] 
---grant		|Г.дарить,жаловать;допускать,предоставлять;С.подарок
successful	|П.благополучный,счастливый;успевающий
well		|Н.хорошо,вполне,правильно,значительно;П.здоровый;хороший
obsolete	|П.устарешвий, остаточный
independently|Н.независимо,автономно;самостоятельно
bind/associate	|Г.связать,привязать,присвоить
---tie			|Г.связывать,завязывать,привязывать,увязать;С.галстук,узы
tied		|П.связанный,завязанный
---arise(from),be the result(of)	|происходить (из за, от)
trunk		|тело,туловище,конал связи
greed		|жадность,скупость
dry			|сухой, вытирать, промакать
---wat 		|мокрый
---trim		|приводить в порядок, согласовывать (adjust(with);make agree)
---conform		|согласовывать,адaптировать;приспосабливать
-----match		|Г.согласовывать,подбор,подбирать,приводитдь в соответствие;С.равный;пара,сочетание,совпадение
-----matching	|Г.согласование, сопоставление, сравнение, подгонка;подобие
correspond	|Г.соответствовать,совпадать,соглаосвываться;осуществлять переписку
coherent    |связанный, согласнованный,когерентный
accord		|С.согласие,единство,договор;Г.соответствовать,согласовывать
accord		|согласованность,соответствие,договор;предоставлять,оказывать [ə'kɔ:d]
consistent	|П.последовательный, совместимый, согласующийся
consistent	|п.последовательный,стойкий;совместный,согласующийся
complaint	|согласущющийся, соответствующий чему-либо,удовлетворяющий
compliant 	|С.жалоба, недовольство, претензия
concurrent	|соперник,параллельно,сопутствующий
---vie			|конкурировать,соперничать
---indentation	|метка,выделение,зубец
---identify	|устанавливать тождество, опознавать
---supply,purvey|доставлять, предлогать;снабжать
---compose		|сочинять, описать, составлять;успокаивать
district	|район, область, округ
repair		|ремонт,воста-е,годность
restoration,renewal|восстановление
mend (fix)	|С.починка;Г.чинить,ремонтировать;улучшать
amend		|Г.изменять, исправлять
pass		|проход,прогон;выдержать(исп),удовлетворить(тр);превращаться(из одн. сост. в др.)
early		|Н.рано,своевременно,в начале;П.начальный
late		|Н.поздно;П.поздний,недваний.
---plenty		|С.обилие,достаток;П.отличный,привосоходный;Н.вполне,довольно;очень,весьма
merge		|Г.сливать,соединять,погружать
---unify		|Г.объединять,соединять;унифицировать
corrupt		|П.испорченный,коруммпированный;Г.подкупать,развращать
complex		|П.составной;сложный;С.совокупность,комплекс
---complicate	|Г.усложнять,осложнять;-ed усложненный,запутанный
compound	|П.составной,сложный
nearly		|Н.близко;особенно;почти,приблизительно
separate	|П.отдельный,раздельный,обособленный;Г.отделять,разделять
suspend		|Г.вешать, приостанавливать
beyond		|Н.далеко,вдали;Пре.за пределами,вне,сверх,далее [bɪ'jɔnd]
---thorough	|П.исчерпывающий, полный,основательный; законченный,завершенный  ['θʌrə]
throughput	|пропускная способность, производительность
---thought		|С. мысль,мышление!забота,внимание;намерение,цель [θɔːt]
thoughts	|С. задумки, мысли
through		|Пре.через,сквозь,по;Н.насквозь;от начала до конца
though		|Сою.хотя,не смотря на, даже если;Н.однако,все-таки
though		|хотя,не смотря на; даже,хотя бы;тем не менее, однако [ðəʊ]
though		|С.хотя, несмотря на;Н.однако, тем не менее, все-таки [ðəu]
though		|хоя,не смотря на!даже.если бы!тем не менее,однако [ðəu]
---thorough	|П. исчерпывающий, полный, основательный;законченный, завершенный['θʌrə]
---throw		|Г.бросать, кидать;С.бросок
expire		|Г.терять силу, кончаться
try			|Г.пытаться,делать попытку;испытывать
essential	|П.важный,основной;неотъемлемый, внутренне присущий
built-in	|П.встроенный,свойственный,присущий
sensitive	|П.чувствительный, нежный
---delimiter	|С.рарзделять,резделитель,ограничитель
demarcate	|разграничивать, разделять; размежёвывать
---lapse		|С.упущение,ошибка,погрешность;истечение срока;Г.опускаться,снижаться;течь
---elapse		|Г.проходить,протекать,истечь
approach	|Г.подходить,приблежаться,обращаться;С.приблежение, наступление
direct		|Г.направлять,адресовать;П.прямой,непосредственный;постоянный
---immediate	|П.прямой,непосредственный;немедленный,безотлог-ый;недавний
immediately	|Прямо, непосредственно, немедленно; как только
---contribution|С.пожертвование,вклад,содействие,пост ПО
target		|С.цель, объект
goal		|С.цель, задача
---regard		|С.внимание, забота!Г.касаться(к/л).иметь отношение(к ч/л) [rɪ'gɑːd]
regard		|внимание,забота,отношение;рассматривать,учитывать;расположение
regard		|с.внимание, забота
regarding	|предлог.относительно, касательно
achieve		|г.добиваться, достигать;доводить до конца, выполнять
---glue		|с:клей;г:клеить
fill		|наполнять,заполнять,удовлетовроять
measure		|мера,эталон,единица измерения; размер
road		|дорога, путь, шоссе
vast,huge,large	|П.огромный, обширный, громадный
vote		|C.голосование, боллатировка;Г.голосовать
