swift,headlong;impetuous |стремительный,быстрый
quite		|Н.соверешенно(увер-й);довольно(близко);Г.действительно,в самом деле
shuffle		|перемещать,откладывать в сторону, засовывать
redux		|вернувшийся, возвращающийся
mutual		|совместный,общий,взаимный
pleased		|нравиться, быть довольным
survey		|обзор, опрос, обследование
rescue		|спасать;беречь,экономить;силой изъять
relinquish	|оставлять,отступать;уступать
excess		|черезмерность,излишества;избыточный,добавочный
dispense	|раздвать,распределять;выписывать(лекар-во)
sensible	|здравомыслящий,блогоразумный;здравый
capable		|способный,умелый,могущий
resume		|возобновлять,продолжать;обретать вновь
prescriptive|предписывающий,дающий инструкции
glitch		|затруднение, проблема, отказ(техн)
cautious,careful|осторожный, осмотрительный
meaningful	|выразительный,имеющий ясную цель,показательный
weapon		|орудие,оружие;средство защиты
stipulation	|обусловливание;условие;оговорка
fore		|носовая часть, предшествующая
acquire		|приобретать;запрашивать,собирать данные
acquire		|приобретать,усваивать [əˈkwaɪər]
acquire		|получать, достигать; собирать данные/запрашивать
occur		|происходить, случаться, произойти(happen, take place); встречаться(meet)
accure		|получать, приобретать(receive, acquire); нарастать, приростать, накапливать(grow)
accuracy	|точность, меткость, тщательность
tiny,wee,little(less)|крошечный, маленький
mislead		|вводить в заблуждение, обманывать
objection, retort |возражение, протест, недовольство
proper		|присущий,свойственный;правильный,должный
property    |имущество,право;свойство
properly	|Н.правильно, должным образом, как следует
drip		|капать, падать
condiment	|дополнение, приправа
forge		|ковать,выковывать;изобретать
invent		|изобретать, создавать
elaboration	|С.разработка,развитие,создание,выроботка
investigation|расследование, следствие;дознание
steep		|неправдоподобный, черезмерный;крутой
flatten		|выравнивать,разглаживать;успокаиваться,выдыхаться
menace		|угроза,опасность
fight		|бой, драка
transient	|кратковременный,быстротечный;случайный;качующий
peerless	|бесподобный, несравненное качество
fold		|сгибать,сворачивать;обертывать
asset		|ценное,полезное качество;имущество
torment		|мучить
redeem		|выкупать,осовобождать;исправлять,искупать
crucial		|ключевой,критичный,решающий 
usage		|C.применение,использование,обращение;обычай,привычка ['ju:zɪʤ]
redundant	|излишний,чрезмерный, избыточный
impertinent	|наглый, дерзкий,грубый
contraction	|сокращение,сужение
advantage	|преимущество, выгода, польза
cast		|кидать,брость/отбрасывать,приводить(к чему либо),отливать [kɑ:st]
tight		|тугой, тесный, сжатый
struggle	|Борьба,напряжение;усилие,биться
stipulation	|обусловливание,условаие,оговорка
accessory	|принадлежность, дополнение
sudden,unexpected |Н.вдруг,внезапно;П.внезапный,поспешный.
succeed		|Г.следовать за, наследовать;(in)достигать цели,преуспевать в
succeed		|следовать за,смеянть;достигать цели, преуспевать
apart		|Н.в стороне,отдельно;врозь,в отдельности;на части,на куски
partial		|частично
tried(triad)|П.испытанный,проверенный,надежный
decay,crumble|Г.распадаться,разрушаться
degree,extent,amount|мера,уровень,степерь
forth		|вперед,дальше,наружу;следующий
bare		|голый,пустой,ясный
emergency|непредвиденный случай,крайность,авария
emerge		|появляться
encounter	|встреча,сталкнуться
pressure	|давление,напряжение,напор
deviate		|отклоняться(от курса), мен.напр.
snarf		|хапать
severity	|строгость,суровость,серьезность
setting,situation|обстановка
faith		|вера,доверие
routine		|операция;типовой,станд-ый
rout		|беспорядочное бегство,разгром,поражение;(гл)разрушать,разгонять
route		|дорога, путь;курс,направление		
terrain		|местность, территория
rest		|остальное, остальные; отдых, покой
capture(grab)|захватывать, брать силой, хватать
chapter		|глава, тема, отдел
evidence	|очивидность;док-во,подтверждение
at least(little->less)|как минимум,минимальное кол.
least		|наименьший, ограниченный; как минимум, немного
meanwhile	|тем временем, между тем, пока
premature, untimely|преждевремнно, необдуманный
maturity	|завершенность, спелость, зрелость
whatever|П.какой бы то ни было, любой;все,что-нибудь
challenge	|вызов;сложная задача,оспаривать
silent		|безмолвный,молчащий,беззвучный
resistance	|сопротивление; отпор
intact,safe	|целый,неповрежденный,сохраненный
injury|вред,повреждение,ущерб,неспроведливость
vital 		|П.жизненно важный,существенный,необходимый['vaɪt(ə)l] 
characters	|характер,нрав,личность,буква
holes		|отверстие,яма; бухта
disregard, let pass|не обращать внимание
wis 		|знать,видеть;вести,указывать путь
lease		|С.аренда;Г.сдавать в наем
leave		|С.позволение,разрешение;уход;Г.покидать;забывать;оставлять
