formerly	|когда-то, прежде, раньше
rate        |норма, размер;оценка, скорость,коэффициент
rate		|с.скорость,частота, интенсиваность, оценка
earlier     |ранее, раньше
lecture     |лекция,читать натации
parenthesis |вводное слово;отсутпление;круглые скобки
caution     |осмотрительность,осторожность
to			|тоже,слишком,черезчур,также;действительно,кроме того
resurrection|с.Восстановление,воскрешение
exclusion	|с.исключение
affect		|г.задействовать,влиять,действовать;оказывать воздействие
affected	|находящийся под влиянием.
otherwise	|н.в противном случае,иначе,по другому
otherwise	|иначе, иным способом, другой
therwise	|Нар.иначе,иным способом,по-другому;или же;П.другой,иной,противоположный
vary		|г.изменять(ся), отличать(ся);разнообразить
worst		|П.наихудший;Н.хуже всего;Г.одежривать верх, попедить
circumstance|С.обстоятельство,случай,условаие
entirely	|Н.полностью,целиком,всецело,вполне
entirely	|полностью, совершенно
entire		|п.полный,целый,весь;цельный, единный
entire		|п.полный, целый;с. полнота, цельность, целостность
entire		|полный, целый, весь;полнота целостность
oppose		|Г.быть против,возражать,препятствовать.
upcoming	|П.наступающий,предстоящий;на подходе
thus		|так,таким образом,соотвественно;до
denial		|отказ, отрицание
faced		|иметь дело,смотреть в лицо,быть обращенным к
anymore		|уже не, уже, больше не
as before	|по прежнему,по стараму,в обычном порядке
behind		|спина, зад, задняя сторона, леж. в основе
saver		|предохранительное устройство,что то помог. беречь
principle	|закон,правило; принцип
chin		|подбородок, дерзить
grain		|зерно; seed-семя;kernel-ядро
coal		|уголь
aversion	|отвращение,неохота
sens		|смысл(сог. содерж.), целесообразность
purport,point|смысл,цель
conversion	|обращение, переход (в др. веру); переработка, преобразование
exceed		|привышать,приступат(переделы);превосходить;преувеличивать
occupy		|занимать(мысли,кв),арендовать;пребывать;захватывать
threshold	|порог,пороговая величина;вход,граница, 
tenure		|владение недвиж.,срок владения;пребывание(в должности)
entertainment|развлечение
flip		|переворачивать,перекидывать;отображать зеркально,транспонировать,перключать
aspiration	|стремление, сильное желание
ponder		|обдумывать, взвешивать
sentinel 	|сигнализатор, индикатор; охранять
fairness 	|справедливаость, законность;равноправие.
density		|плотность;концентрация
sinter		|спекать,металлизировать
exhaustion	|изнеможение;расходование;исчерпание;откачивание
casual		|случай,нерегулярный;невольный;легкомысленный
stub		|пень,короткий обломок;рубить близко к корню;затушить окурок
remarkable 	|замечательный, выдающийся
by the way	|кстати, между прочим;
Stay current|быть в курсе
realize		|Г.понимать,осозновать;осуществлять,реализовывать;приносить доход
reliably	|Н.Достоверно,надежно
sentence	|Г.приговорить;С.предложение, приговр
remind		|Г. напоминать
rub			|Г.тереть,натирать;С.трение
crooked		|П.изогнутый, кривой
significant	|П.значительный,существенный;С.указание;знак,символ [sɪg'nɪfɪkənt]
insignificant|П.незначительный,пустяковый,ничтожно малый
compliant	|п. уступчивый, поддатливый
patient		|терпеливый, пациент, испытывающий страдение
parcel		|пакет, посылка, часть
strive 		|стараться, прилогать усилия
commitment	|обязательство, приверженность, долг
wonder		|удивляться, интересоваться, размышлять
guess		|гадать, догадываться, предпологать, считать
Borrow		|Занимать      
promise		|Обещать
strict		|строгий; требовательный; точный
strictly	|строго, сугубо; точно
alignment	|выравнивание, регулировка; группировка,блок
possess		|иметь,владеть,обладать;обладать возможностью/способностью
sake|ради(for one's sake—ради,for old sake's sake—в память прошлого)
imminent	|п.надвигающийся, неизбежный
inevitability	|c. неижбежность, неминуемость, неотвратимость
comprice	|включать, содержать, заключать в себе; составлять
comprise	|включать,содержать;обобщать,суммировать;составлять
participate	|принимать участие
behalf		|польза, в пользу, в защиту; ради
gather		|собирать, подчерпнуть, приобритать, накоплять
ubiquitous	|распространенный, повсеместный
extensively	|широко, ошбирно
simultaneously|одновременно
integrity	|целостность
curve		|изгиб, кривая
crucial		|ключевой, критичный, значимый
worse		|худший
following up|продолжение
either		|одно из 2х, в равной степени
inteprose	|становиться между, вклиниваться, вставлять, посредничать
conduct		|руководить, командовать; повдение, образ действия; поступок
incredibly	|невероятно
amaze		|удивлять, изумлять
agreement   |согласие;договор, соглашение
once		|Н.один раз,однажды;Союз.как только;П.прежний
where		|Н.где,куда;Союз.где,туда
noice		|с.шум;г.кричать,обнародовать
deal		|C.дело,соглашение,часть,большое количество;г.иметь дело,бороться,обращаться
deal		|С.некоторое кол.,сделка,соглашение;Г.распределять,выдавать
pull		|г.тянуть,вытащить,тащить;с.тяга
those		|те
produce		|С.изделие,результат,итог;Г.производить,выпускать,изготовлять,вызывать
expose		|Г.делать видимым,обнадеживать;подвергать,оставлять без защиты
whenever	|со.всякий раз когда;н.ну когда же
headless	|без заголовка
alert		|тревога, предупреждение
apply		|обращаться с просбой; применять,использовать;касаться 
unrepaired	|неисправленный,неустраненный
lake		|озеро
while		|Союз.в то время как, пока, тогда как;г.проводить время.
awful		|П.ужасный;Н.очень
growth		|рост
