Тема;Слово;Перевод;Изображение;Определение;Спряжение;Склонение;Примеры;Произношение;Другие
;everything;М.весь,все,все самое важное;;;;;;;
;anything;М.что-нибудь::все,все что угодно::ничто,ничего;;;;;;;
;any;какой-то,какой-нибудь,некоторый,любой;;;;;;;
;No;никакой,нисколько;;;;;;;
;some;М.кое-кто,одни,другие::П.какой-нибудь,некий;;;;;;;
;someone;М.кто то,кто нибудь;;;;;;;
;somewhat;м.что-то,кое-что::Н.отчасти,весьма;;;;;;;
;something;кое-кто,нечто вроде.;;;;;;;
;each;М.каждый,всякий::П.каждый::Н.на каждого;;;;;;;
;essential;П.важный,основной::неотъемлемый,внутренне присущий;;;;;;;
;coup;С.неожиданный успех,удача::удачный зход;;;;;;;
;couple;С.пара,двое::Г.соединять,связывать;;;;;;;
;towards ;Пре.к,в направлении,по отношению к::приблизительно,около,примерно;;;;;;;
;toward;П.будущий,предстоящий:: послушный;;;;;;;
;descendant;наследник,потомок;;;;;;;
;prevent;Г.предотвращать,предупреждать::препятствовать,оберегать;;;;;;;
;convenient;П.удобный,пригодный,комфорт::С.преимущество,выгода;;;;;;;
;conversation;С.разговор,беседа.диалог;;;;;;;
;range;С.ряд,линия,дистанция::диапазон,радиус действ-я;;;;;;;
;offence;С.проступок,нарушение::обида,оскорбление;;;;;;;
;offset;Г.возмещать,вознаграждать::С.ответвление,отпрыск;;;;;;;
;importunate(inportune);П.безотлагательный,настойчивый,упрямый(надоедать);;;;;;;
;encourage;Г.поощерять,одобрять;;;;;;;
;plenty;С.обилие,достаток::П.отличный,привосоходный::Н.вполне,довольно::очень,весьма;;;;;;;
;cohesion;С.сцепление,единство,связь;;;;;;;
;merge;Г.сливать,соединять,погружать;;;;;;;
;unify;Г.объединять,соединять::унифицировать;;;;;;;
;abject;П.подлый,низкий::;;;;;;;
;adjust;Г.регулировать,корректировать::привыкать;;;;;;;
;inevitable;П.неизбежный,неминуемый::неизменный,постоянный::Н.неизбежно;;;;;;;
;scream;Г.орать,кричать::С.крик,вполь;;;;;;;
;attempt;С.попытка,проба::Г.пытаться,стараться::соблазнять;;;;;;;
;endeavour;C.попытка,старание::Г.пытаться,прилагать усилия;;;;;;;
;handling;С.обращение,владение,умение обращаться::перемещение,транспортировака::уход,обработка;;;;;;;
;hand;С.рукоять,удобный случай::Г.оснащать,трогать,брать;;;;;;;
;with;с,благодоря,учитывая,вместе;;;;;;;
;like;П.подобный,похожий::Н.вероятно::Пре.так,как что-л::C.нечто подобное/равное;;;;;;;
;briefly;Н.кратко,вкратце;;;;;;;
;derive;Г.получать,извлекать::выводить::происходить;;;;;;;
;unwanted;П.ненужный,лишний;;;;;;;
;ambiguity;С.неопределенность,неясность,двухсмысленность;;;;;;;
;explicit;П.ясный,недвусмысленно,точный,подробный;;;;;;;
;implicit;П.подразумеваемый,скрытый,не выраженный явно,неявный;;;;;;;
;ambiguous;П.двухсмысленный::сомнительный,неопределенный.;;;;;;;
;every;П.каждый,всякий,любой;;;;;;;
;receive;Г.аккамулировать,воспринимать::принимать,получать;;;;;;;
;proposal;С.предложение,план::заявка(на торгах);;;;;;;
;interleave;Г.чередовать,прослаивать;;;;;;;
;own;П.собственный,родной::Г.владеть,обладать::С.собственность;;;;;;;
;thin;П.тонкий,слабый::Г.делать тонким;;;;;;;
;straight ;П.прямой,ровный,правильный;;;;;;;
;reside;Г.находиться,проживать;;;;;;;
;expire;Г.терять силу,кончаться;;;;;;;
;might;С.мощь::Г.(may) может,мог бы;;;;;;;
;closure;С.закрытие,завершение::облегчение::Г.закрывать дискусию;;;;;;;
;self-contained;замкнутый,независимый;;;;;;;
;customize;Г.переделывать,подгонять,изготовлять(спец.);;;;;;;
;manifest;С.декларация::П.явный,очевидный::Г.делать явным,проявлять::доказывать;;;;;;;
;manner;С.способ,метод::манера,поведение;;;;;;;
;sensitive;П.чувствительный,нежный;;;;;;;
;arbitrary;П.произвольный::произвольно выбранный;;;;;;;
;consist;С.состав,строение::Г.(in)заключаться в чем-л::(of)состоять;;;;;;;
;occur;Г.происходить,случ-ся,встреч-ся,совпадать:: иметь место;;;;;;;
;accrue;Г.прирост,добавлять,накапливать;;;;;;;
;odd;П.случайный,нерегулярный::непарный::превышающий,добавочный;;;;;;;
;odds;С.вероятность,шанс,трудность,разногласие;;;;;;;
;lapse;С.упущение,ошибка,погрешность::истечение срока::Г.опускаться,снижаться::течь;;;;;;;
;elapse;Г.проходить,протекать,истечь;;;;;;;
;approach;Г.подходить,приблежаться,обращаться::С.приблежение,наступление;;;;;;;
;vote;C.голосование,боллатировка::Г.голосовать;;;;;;;
;ascend;Г.подниматься::восходить::набирать высоту(авиа)::продвигаться(по службе);;;;;;;
;direct;П.прямой,непосредственный::постоянный::Г.направлять,адресовать;;;;;;;
;immediate;П.прямой,непосредственный::немедленный,безотлог-ый::недавний;;;;;;;
;match;С.равный(по силам соперн)::пара,сочетание::Г.согласовывать,подбор,приводитдь в соответствие;;;;;;;
;contribution;С.пожертвование,вклад,содействие,пост ПО;;;;;;;
;leave;С.позволение,разрешение::уход::Г.покидать::забывать::оставлять;;;;;;;
;vast,huge,large;П.огромный,обширный,громадный;;;;;;;
;due;П.должный,обусловленный::Н.точно,прямо;;;;;;;
;definitive;П.окончательный,точный::определенный;;;;;;;
;certain;П.точный,определенный::некоторый::Пред.уверенный,убежденный;;;;;;;
;complaint ;С.жалоба,недовольство,претензия;;;;;;;
;conclusion;С.вывод логический:: итог;;;;;;;
;lease;С.аренда::Г.сдавать в наем;;;;;;;
;inbound;П.прибывающий,возвращающийся;;;;;;;
;elaborate;П.тщательно продуманный::старательный,усердный::Г.детально разрабатывать;;;;;;;
;swift,headlong::impetuous ;стремительный,быстрый;;;;;;;
;robust;П.крепкий,здоровый,надежный,выносливый;;;;;;;
;seamless;П.без швов,прозрачность,незаметность;;;;;;;
;gather;Г.собираться(на площади)::набирать,накоплять;;;;;;;
;sudden,unexpected ;Н.вдруг,внезапно::П.внезапный,поспешный.;;;;;;;
;succeed;Г.следовать за,наследовать::(in)достигать цели,преуспевать;;;;;;;
;poll;С.список изберателей,опрос,голосование::Г. проводить голосование;;;;;;;
;spool;С.катушка,буфер::Г.подкачка данных;;;;;;;
;widen;Г.расширять,расширяться;;;;;;;
;opportunity;С.удобный случай::шанс,возможность;;;;;;;
;establish;Г.учереждать,устана-ть,упорядо-ть;;;;;;;
